With Two Polarizers
Sensor Position (Radians)	Light Intensity (Volts)
-2.44782	0.48459
-2.44782	0.48266
-2.44782	0.48169
-2.44782	0.48798
-2.49582	0.58480
-2.55691	0.72723
-2.60927	0.85805
-2.66163	0.99999
-2.71399	1.14016
-2.74453	1.22893
-2.74889	1.24987
-2.74889	1.24842
-2.74889	1.24391
-2.74889	1.24987
-2.74889	1.24601
-2.74889	1.24585
-2.75326	1.25052
-2.75326	1.24826
-2.75326	1.25229
-2.75326	1.24842
-2.75326	1.25197
-2.75326	1.25390
-2.80125	1.37184
-2.85798	1.53101
-2.89288	1.63944
-2.91470	1.70888
-2.94088	1.78171
-2.96706	1.86597
-2.99324	1.94459
-3.00633	1.97826
-3.00633	1.98535
-3.00633	1.97939
-3.00633	1.97939
-3.00633	1.97859
-3.00633	1.98277
-3.00633	1.98696
-3.00633	1.98503
-3.00633	1.98342
-3.00633	1.98261
-3.00633	1.97955
-3.00633	1.98503
-3.01506	2.00082
-3.04560	2.07622
-3.06742	2.15098
-3.07614	2.17434
-3.08923	2.20430
-3.09796	2.23733
-3.11978	2.29566
-3.13723	2.34544
-3.15905	2.39184
